"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2006","5,218.0","5,001.5","5,256.5","4,929.0","1.82M","4.29%"
"02/01/2006","5,003.5","4,951.5","5,094.0","4,878.5","2.01M","0.84%"
"01/01/2006","4,962.0","4,711.0","4,977.0","4,711.0","2.09M","5.16%"
"12/01/2005","4,718.5","4,576.5","4,788.0","4,574.5","1.71M","3.16%"
"11/01/2005","4,574.0","4,424.5","4,639.0","4,401.5","1.89M","3.03%"
"10/01/2005","4,439.5","4,613.5","4,665.0","4,292.0","2.19M","-3.51%"
"09/01/2005","4,601.0","4,419.5","4,634.5","4,391.0","2.04M","4.49%"
"08/01/2005","4,403.5","4,455.0","4,534.5","4,320.0","1.68M","-1.13%"
"07/01/2005","4,454.0","4,228.0","4,490.0","4,089.0","1.64M","5.16%"
"06/01/2005","4,235.5","4,110.0","4,259.0","4,110.0","1.67M","3.08%"
"05/01/2005","4,109.0","3,898.0","4,124.5","3,897.0","1.52M","5.71%"
"04/01/2005","3,887.0","4,071.0","4,144.5","3,855.5","1.82M","-4.64%"
"03/01/2005","4,076.0","4,020.0","4,114.0","4,010.0","1.60M","1.13%"
"02/01/2005","4,030.5","3,918.0","4,061.5","3,912.0","1.26M","2.88%"
"01/01/2005","3,917.5","3,814.0","3,928.0","3,806.0","1.34M","2.66%"
"12/01/2004","3,816.0","3,752.0","3,845.0","3,735.0","1.38M","1.58%"
"11/01/2004","3,756.5","3,708.0","3,894.0","3,705.0","1.60M","1.14%"
"10/01/2004","3,714.0","3,658.0","3,787.5","3,603.5","1.55M","1.05%"
"09/01/2004","3,675.3","3,620.0","3,743.0","3,601.5","1.53M","1.74%"
"08/01/2004","3,612.4","3,638.0","3,662.0","3,454.5","1.28M","-0.88%"
"07/01/2004","3,644.5","3,766.0","3,781.0","3,528.5","1.30M","-2.88%"
"06/01/2004","3,752.6","3,648.0","3,783.0","3,601.0","1.55M","2.16%"
"05/01/2004","3,673.1","3,607.0","3,699.0","3,488.5","1.65M","0.13%"
"04/01/2004","3,668.4","3,640.0","3,828.5","3,625.5","1.57M","0.31%"
"03/01/2004","3,657.1","3,747.0","3,795.5","3,490.5","2.15M","-2.45%"
"02/01/2004","3,748.9","3,655.0","3,769.0","3,595.0","1.30M","2.46%"
"01/01/2004","3,659.0","3,562.5","3,725.5","3,551.0","1.48M","2.71%"
"12/01/2003","3,562.6","3,451.0","3,563.5","3,421.5","1.45M","4.46%"
"11/01/2003","3,410.4","3,380.0","3,478.0","3,288.0","1.65M","1.24%"
"10/01/2003","3,368.6","3,140.0","3,420.5","3,126.0","1.90M","6.92%"
"09/01/2003","3,150.6","3,346.0","3,439.0","3,145.0","2.01M","-4.97%"
"08/01/2003","3,315.2","3,193.5","3,353.5","3,108.0","1.41M","3.07%"
"07/01/2003","3,216.5","3,079.0","3,226.5","3,000.0","1.96M","3.04%"
"06/01/2003","3,121.6","2,998.0","3,230.0","2,974.0","2.08M","4.79%"
"05/01/2003","2,978.8","2,926.0","3,062.0","2,811.0","2.01M","-0.01%"
"04/01/2003","2,979.0","2,614.0","3,016.0","2,591.0","1.99M","13.83%"
"03/01/2003","2,617.0","2,768.0","2,949.0","2,388.0","2.28M","-4.33%"
"02/01/2003","2,735.4","2,970.0","2,988.0","2,634.5","1.63M","-5.62%"
"01/01/2003","2,898.4","3,060.0","3,260.0","2,735.0","1.96M","-5.08%"
"12/01/2002","3,053.5","3,303.0","3,400.5","2,976.0","1.51M","-8.47%"
"11/01/2002","3,335.9","3,110.5","3,367.0","2,981.0","1.57M","6.39%"
"10/01/2002","3,135.4","2,795.0","3,241.0","2,612.0","2.24M","12.92%"
"09/01/2002","2,776.7","3,359.0","3,414.5","2,665.5","2.06M","-16.85%"
"08/01/2002","3,339.3","3,381.5","3,619.0","3,023.5","1.61M","-1.83%"
